,Date,Close,High,Low,Open,Volume
0,1999-01-22,2338.8798828125,2365.110107421875,2303.820068359375,2309.340087890625,1014740000
1,1999-01-25,2369.31005859375,2369.68994140625,2328.739990234375,2363.47998046875,870960000
2,1999-01-26,2433.409912109375,2434.3701171875,2384.6298828125,2388.969970703125,1030160000
3,1999-01-27,2407.139892578125,2464.1201171875,2406.780029296875,2455.25,1034480000
4,1999-01-28,2477.340087890625,2477.469970703125,2407.139892578125,2442.52001953125,1013890000
5,1999-01-29,2505.889892578125,2506.679931640625,2454.7099609375,2486.280029296875,1057120000
6,1999-02-01,2510.090087890625,2533.43994140625,2500.35009765625,2522.3798828125,957110000
7,1999-02-02,2463.419921875,2512.1201171875,2442.929931640625,2512.1201171875,963710000
8,1999-02-03,2493.409912109375,2493.580078125,2448.550048828125,2453.22998046875,1057010000
9,1999-02-04,2410.070068359375,2496.52001953125,2409.989990234375,2496.489990234375,1099190000
10,1999-02-05,2373.6201171875,2421.429931640625,2346.820068359375,2419.929931640625,1013740000
11,1999-02-08,2404.919921875,2414.97998046875,2358.050048828125,2405.31005859375,881780000
12,1999-02-09,2310.7900390625,2403.949951171875,2310.639892578125,2403.949951171875,909780000
13,1999-02-10,2309.5,2338.14990234375,2289.89990234375,2304.25,915620000
14,1999-02-11,2405.550048828125,2405.760009765625,2326.18994140625,2339.02001953125,961760000
15,1999-02-12,2321.889892578125,2379.0,2319.739990234375,2375.989990234375,837560000
16,1999-02-16,2313.8701171875,2368.409912109375,2300.52001953125,2361.219970703125,819240000
17,1999-02-17,2248.909912109375,2304.719970703125,2242.27001953125,2277.580078125,902780000
18,1999-02-18,2260.550048828125,2273.080078125,2224.2099609375,2269.030029296875,859910000
19,1999-02-19,2283.60009765625,2291.409912109375,2260.550048828125,2276.610107421875,813480000
20,1999-02-22,2342.010009765625,2342.409912109375,2275.60009765625,2293.330078125,843510000
21,1999-02-23,2376.35009765625,2386.47998046875,2342.010009765625,2360.679931640625,912110000
22,1999-02-24,2339.3798828125,2405.2900390625,2338.89990234375,2389.75,931090000
