,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
3480,2012-11-20,0.2671658879192308,0.2683194528367186,0.262320904264519,0.2650894820690155,336976000,0.001875,0.0
3545,2013-02-26,0.2843574873339988,0.2887679146339722,0.2834289573900863,0.2871430218219757,487504000,0.001875,0.0
3604,2013-05-21,0.3464620610456576,0.3494950648942433,0.3424958380801787,0.3480952084064483,357784000,0.001875,0.0
3667,2013-08-20,0.3486777853526986,0.352898499886879,0.3482088232828292,0.3505536615848541,234192000,0.001875,0.0
3731,2013-11-19,0.368247677998208,0.3715482189049365,0.363532603500561,0.3640041053295135,206716000,0.002125,0.0
3796,2014-02-25,0.4452187476044807,0.4471132993108437,0.4390614616165418,0.4437978267669678,242184000,0.002125,0.0
3855,2014-05-20,0.4391805135036662,0.4403700587504304,0.431805349990326,0.4339465200901031,256200000,0.002125,0.0
3918,2014-08-19,0.4592843285671579,0.4652583644475071,0.4576115757315001,0.4628687500953674,248260000,0.002125,0.0
3983,2014-11-19,0.4823456081225992,0.4837854558352829,0.4751464267731881,0.4801858365535736,240300000,0.002125,0.0
4047,2015-02-24,0.5338277712212034,0.5374411940574646,0.5290098358166415,0.5374411940574646,149356000,0.002125,0.0
4106,2015-05-19,0.5130655636998163,0.5147596985142603,0.508225326887567,0.5091934204101562,253808000,0.00245,0.0
4169,2015-08-18,0.5643163295670182,0.5682048220162662,0.5565393446685221,0.5609139204025269,287084000,0.00245,0.0
4234,2015-11-18,0.7418612800118571,0.7579622375309555,0.7338108303337809,0.7569863796234131,350216000,0.002875,0.0
4302,2016-02-29,0.7739453038607736,0.7839837953842218,0.7673345842355896,0.7678242325782776,323344000,0.002875,0.0
4362,2016-05-24,1.0904122474640292,1.1169239153394137,1.0874664935831062,1.1134871244430542,415788000,0.002875,0.0
4425,2016-08-23,1.5503429368177235,1.5572289478683292,1.542719071858221,1.5471458435058594,339764000,0.002875,0.0
4490,2016-11-23,2.308307210127273,2.345990813536236,2.2849090447364517,2.314464807510376,443236000,0.0035,0.0
4550,2017-02-22,2.7477188881962467,2.757090061179606,2.7124536350883863,2.73144268989563,433772000,0.0035,0.0
4611,2017-05-19,3.382843324776721,3.412220585129644,3.338160130379366,3.3574159145355225,1018372000,0.0035,0.0
4676,2017-08-22,3.9654859579490114,4.0223156649222185,3.9462132193905073,4.016385555267334,450456000,0.0035,0.0
4741,2017-11-22,5.365495009081491,5.365495009081491,5.28167443257492,5.31431245803833,356640000,0.00375,0.0
4802,2018-02-22,6.005419323083201,6.077168410379192,5.925505422488372,5.991069316864014,534364000,0.00375,0.0
4865,2018-05-23,5.948481103216686,6.129451015975673,5.94773834533285,6.128212928771973,442956000,0.00375,0.0
4933,2018-08-29,6.784997160476675,6.923213874070783,6.764190455138891,6.898196220397949,420108000,0.00375,0.0
4997,2018-11-29,3.9671644164575,4.004356488277219,3.8714566543615017,3.9017062187194815,549172000,0.004,0.0
5057,2019-02-28,3.847151361582479,3.8694896976838415,3.806446127974978,3.828784227371216,324944000,0.004,0.0
5120,2019-05-30,3.4865155897410123,3.522297674140471,3.418430218246536,3.4566972255706787,394300000,0.004,0.0
5183,2019-08-28,3.994147354453402,4.0627973054668605,3.95484737696812,4.010066032409668,255612000,0.004,0.0
5247,2019-11-27,5.443049076205152,5.477399148393635,5.405960531619837,5.432345390319824,215784000,0.004,0.0
5308,2020-02-27,6.3486676331800185,6.650036570091333,6.198979590174947,6.291382789611816,906416000,0.004,0.0
5376,2020-06-04,8.699326160627427,8.913869029088284,8.648992148622396,8.737700462341309,424280000,0.004,0.0
5438,2020-09-01,13.439735440474612,13.951950970325347,13.396365426101127,13.779717445373535,511316000,0.004,0.0
5503,2020-12-03,13.55091121734357,13.623216217703977,13.293108157996404,13.3599271774292,199520000,0.004,0.0
