Year,Start_Price,End_Price,%Return,Positive_Return,Negative_Return
1999,0.0376091077923774,0.0896636098623275,138.40929797462647,138.40929797462647,0.0
2000,0.089425228536129,0.1251830607652664,39.98629113336931,39.98629113336931,0.0
2001,0.1143787428736686,0.5111925005912781,346.92963722803853,346.92963722803853,0.0
2002,0.5142486691474915,0.0879498794674873,-82.89740261004694,0.0,-82.89740261004694
2003,0.0940621718764305,0.1772742271423339,88.46495206938141,88.46495206938141,0.0
2004,0.1763572692871093,0.1800250858068466,2.0797648628626138,2.0797648628626138,0.0
2005,0.1801781207323074,0.2793603837490082,55.04678515548341,55.04678515548341,0.0
2006,0.2920445799827575,0.5655969977378845,93.66803443887838,93.66803443887838,0.0
2007,0.5513845682144165,0.779854953289032,41.43575976645222,41.43575976645222,0.0
2008,0.7567023634910583,0.1849920898675918,-75.55285951346472,0.0,-75.55285951346472
2009,0.1996630728244781,0.4282096028327942,114.4660987007994,114.4660987007994,0.0
2010,0.4238541424274444,0.3530208766460418,-16.71170780017276,0.0,-16.71170780017276
2011,0.3626486957073211,0.3177186846733093,-12.389403730345402,0.0,-12.389403730345402
2012,0.3218450546264648,0.2828544676303863,-12.11470750772641,0.0,-12.11470750772641
2013,0.2934671938419342,0.377677857875824,28.69508612920015,28.69508612920015,0.0
2014,0.3739058971405029,0.4811457097530365,28.68096316016007,28.68096316016007,0.0
2015,0.4830655455589294,0.804069459438324,66.45141986021339,66.45141986021339,0.0
2016,0.789676308631897,2.6289875507354736,232.91964340302388,232.91964340302388,0.0
2017,2.512489080429077,4.784439563751221,90.42628288494473,90.42628288494473,0.0
2018,4.929085731506348,3.310103178024292,-32.84549390434904,0.0,-32.84549390434904
2019,3.377545118331909,5.856997013092041,73.4098822633841,73.4098822633841,0.0
2020,5.971746444702148,13.01984977722168,118.0241558777546,118.0241558777546,0.0
2021,13.078192710876465,29.357425689697266,124.47616684285585,124.47616684285585,0.0
2022,30.06613540649414,14.601021766662598,-51.43698526845307,0.0,-51.43698526845307
2023,14.302286148071287,49.49997329711914,246.09832850949064,246.09832850949064,0.0
2024,48.14657211303711,134.26832580566406,178.8741127622395,178.8741127622395,0.0
2025,138.2876739501953,182.05999755859372,31.653091239471664,31.653091239471664,0.0
