,Date,Close,Volume,MA20,MA50,Signal,Cross,GoldenCross,DeathCross
5923,2022-08-05,18.961650848388672,386068000,17.19314980506897,16.98110113143921,1,,,
5924,2022-08-08,17.767372131347656,981859000,17.32500958442688,16.99750925064087,1,0.0,,
5925,2022-08-09,17.06138801574707,668263000,17.42506523132324,16.98230661392212,1,0.0,,
5926,2022-08-10,18.07093811035156,597422000,17.571504211425783,16.96812665939331,1,0.0,,
5927,2022-08-11,17.916154861450195,509327000,17.69981904029846,16.953626461029053,1,0.0,,
5928,2022-08-12,18.68205451965332,478094000,17.84695692062378,16.96147268295288,1,0.0,,
5929,2022-08-15,19.00458526611328,457666000,17.993295669555664,16.95037149429321,1,0.0,,
5930,2022-08-16,18.851806640625,451240000,18.087509441375733,16.953625926971437,1,0.0,,
5931,2022-08-17,18.308591842651367,446799000,18.113871479034422,16.9446982383728,1,0.0,,
5932,2022-08-18,18.745960235595703,415447000,18.149969387054444,16.94172254562378,1,0.0,,
5933,2022-08-19,17.823293685913086,441588000,18.176431369781493,16.9257656288147,1,0.0,,
5934,2022-08-22,17.00946807861328,409593000,18.17693099975586,16.9055149269104,1,0.0,,
5935,2022-08-23,17.15625,369986000,18.209284210205077,16.909648876190186,1,0.0,,
5936,2022-08-24,17.19719696044922,522661000,18.180925273895262,16.941103553771974,1,0.0,,
5937,2022-08-25,17.887195587158203,770691000,18.177380275726318,16.982583656311036,1,0.0,,
5938,2022-08-26,16.236581802368164,769127000,18.082367420196533,16.97725143432617,1,0.0,,
5939,2022-08-29,15.778240203857422,496132000,17.9505576133728,16.981245670318604,1,0.0,,
5940,2022-08-30,15.445719718933104,530181000,17.797877836227418,16.97301752090454,1,0.0,,
5941,2022-08-31,15.072259902954102,573710000,17.60820155143738,16.943619937896727,1,0.0,,
5942,2022-09-01,13.916925430297852,1178865000,17.344681692123412,16.895229778289796,1,0.0,,
5943,2022-09-02,13.627345085144045,743157000,17.07796640396118,16.843744049072267,1,0.0,,
