,Year,Start_Price,End_Price,Yearly_Return_%,Positive_Return,Negative_Return
0,1999,2338.8798828125,4069.31005859375,73.98542304363275,73.98542304363275,0.0
1,2000,4131.14990234375,2470.52001953125,-40.1977638688532,0.0,-40.1977638688532
2,2001,2291.860107421875,1950.4000244140625,-14.89881873252389,0.0,-14.89881873252389
3,2002,1979.25,1335.510009765625,-32.52444058276494,0.0,-32.52444058276494
4,2003,1384.8499755859375,2003.3699951171875,44.66332313502412,44.66332313502412,0.0
5,2004,2006.6800537109375,2175.43994140625,8.409905075959974,8.409905075959974,0.0
6,2005,2152.14990234375,2205.320068359375,2.4705605291583654,2.4705605291583654,0.0
7,2006,2243.739990234375,2415.2900390625,7.645718736340985,7.645718736340985,0.0
8,2007,2423.159912109375,2652.280029296875,9.455427024956418,9.455427024956418,0.0
9,2008,2609.6298828125,1577.030029296875,-39.568823928501,0.0,-39.568823928501
10,2009,1632.2099609375,2269.14990234375,39.02316225544953,39.02316225544953,0.0
11,2010,2308.419921875,2652.8701171875,14.92147039836333,14.92147039836333,0.0
12,2011,2691.52001953125,2605.14990234375,-3.208971754278166,0.0,-3.208971754278166
13,2012,2648.719970703125,3019.510009765625,13.998838803789088,13.998838803789088,0.0
14,2013,3112.260009765625,4176.58984375,34.19797287645407,34.19797287645407,0.0
15,2014,4143.06982421875,4736.0498046875,14.312575110427133,14.312575110427133,0.0
16,2015,4726.81005859375,5007.41015625,5.936352300556159,5.936352300556159,0.0
17,2016,4903.08984375,5383.1201171875,9.790362582268356,9.790362582268356,0.0
18,2017,5429.080078125,6903.39013671875,27.155798724245773,27.155798724245773,0.0
19,2018,7006.89990234375,6635.27978515625,-5.303631026086103,0.0,-5.303631026086103
20,2019,6665.93994140625,8972.599609375,34.60366712338149,34.60366712338149,0.0
21,2020,9092.1904296875,12888.2802734375,41.75110357736395,41.75110357736395,0.0
22,2021,12698.4501953125,15644.9697265625,23.20377279061721,23.20377279061721,0.0
23,2022,15832.7998046875,10466.48046875,-33.89368527446885,0.0,-33.89368527446885
24,2023,10386.98046875,15011.349609375,44.52082252910514,44.52082252910514,0.0
25,2024,14765.9404296875,19310.7890625,30.779269728563342,30.779269728563342,0.0
26,2025,19280.7890625,21242.69921875,10.17546610717193,10.17546610717193,0.0
